datetime,home_team_name,away_team_name,match_status,attendance,referee,venu,ft_home_score,ft_away_score,1ht_home_score,1ht_away_score,2ht_home_score,2ht_away_score,et_home_score,et_away_score,home_goal_minutes,away_goal_minutes,1ht_home_ball_possession,1ht_home_goal_attempts,1ht_home_shots_on_goal,1ht_home_shots_off_goal,1ht_home_blocked_shots,1ht_home_free_kicks,1ht_home_corner_kicks,1ht_home_offsides,1ht_home_throw_in,1ht_home_goalkeeper_saves,1ht_home_fouls,1ht_home_red_cards,1ht_home_yellow_cards,1ht_home_total_passes,1ht_home_completed_passes,1ht_home_tackles,1ht_home_attacks,1ht_home_dangerous_attacks,1ht_away_ball_possession,1ht_away_goal_attempts,1ht_away_shots_on_goal,1ht_away_shots_off_goal,1ht_away_blocked_shots,1ht_away_free_kicks,1ht_away_corner_kicks,1ht_away_offsides,1ht_away_throw_in,1ht_away_goalkeeper_saves,1ht_away_fouls,1ht_away_red_cards,1ht_away_yellow_cards,1ht_away_total_passes,1ht_away_completed_passes,1ht_away_tackles,1ht_away_attacks,1ht_away_dangerous_attacks,2ht_home_ball_possession,2ht_home_goal_attempts,2ht_home_shots_on_goal,2ht_home_shots_off_goal,2ht_home_blocked_shots,2ht_home_free_kicks,2ht_home_corner_kicks,2ht_home_offsides,2ht_home_throw_in,2ht_home_goalkeeper_saves,2ht_home_fouls,2ht_home_red_cards,2ht_home_yellow_cards,2ht_home_total_passes,2ht_home_completed_passes,2ht_home_tackles,2ht_home_attacks,2ht_home_dangerous_attacks,2ht_away_ball_possession,2ht_away_goal_attempts,2ht_away_shots_on_goal,2ht_away_shots_off_goal,2ht_away_blocked_shots,2ht_away_free_kicks,2ht_away_corner_kicks,2ht_away_offsides,2ht_away_throw_in,2ht_away_goalkeeper_saves,2ht_away_fouls,2ht_away_red_cards,2ht_away_yellow_cards,2ht_away_total_passes,2ht_away_completed_passes,2ht_away_tackles,2ht_away_attacks,2ht_away_dangerous_attacks,et_home_ball_possession,et_home_goal_attempts,et_home_shots_on_goal,et_home_shots_off_goal,et_home_blocked_shots,et_home_free_kicks,et_home_corner_kicks,et_home_offsides,et_home_throw_in,et_home_goalkeeper_saves,et_home_fouls,et_home_red_cards,et_home_yellow_cards,et_home_total_passes,et_home_completed_passes,et_home_tackles,et_home_attacks,et_home_dangerous_attacks,et_away_ball_possession,et_away_goal_attempts,et_away_shots_on_goal,et_away_shots_off_goal,et_away_blocked_shots,et_away_free_kicks,et_away_corner_kicks,et_away_offsides,et_away_throw_in,et_away_goalkeeper_saves,et_away_fouls,et_away_red_cards,et_away_yellow_cards,et_away_total_passes,et_away_completed_passes,et_away_tackles,et_away_attacks,et_away_dangerous_attacks
"2020-09-20 06:00:00",Newcastle,Brighton,Finished,0,"Friend K. (Eng)","St. James' Park (Newcastle)",0,3,0,2,0,1,0,0,,"4',7',83'",40,1,0,0,1,9,3,1,0,1,13,0,3,153,0,8,55,11,60,6,3,3,0,15,0,1,0,0,8,0,0,228,0,3,45,20,54,5,0,4,1,6,4,0,0,2,3,0,0,233,0,2,39,20,46,7,3,3,1,4,1,1,0,0,7,1,0,216,0,5,35,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-11-28 04:30:00",Brighton,Liverpool,Finished,0,"Attwell S. (Eng)","Amex Stadium (Brighton)",1,1,0,0,1,1,0,0,,60',36,5,0,4,1,6,1,1,0,1,5,0,1,150,0,13,44,25,64,4,1,1,2,6,2,1,0,0,6,0,0,277,0,6,53,23,44,6,3,2,1,7,3,1,0,0,4,0,1,202,0,9,52,20,56,2,1,0,1,6,1,1,0,2,7,0,1,249,0,7,58,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-10-04 04:00:00",Southampton,"West Brom",Finished,0,"Kavanagh C. (Eng)","St. Mary's Stadium (Southampton)",2,0,1,0,1,0,0,0,"41',69'",,66,9,5,4,0,6,2,1,0,1,7,0,0,320,0,9,67,16,34,2,1,0,1,8,0,1,0,4,5,0,1,158,0,7,46,8,58,4,2,1,1,5,3,0,0,1,12,0,2,202,0,12,58,20,42,3,1,1,1,12,1,0,0,1,5,0,0,167,0,11,53,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-09-14 10:00:00","Sheffield Utd",Wolves,Finished,0,"Dean M. (Eng)","Bramall Lane (Sheffield)",0,2,0,2,0,0,0,0,,"3',6'",51,1,1,0,0,3,4,3,0,1,7,0,2,218,0,7,70,43,49,4,3,1,0,10,2,0,0,1,3,0,0,209,0,9,44,18,59,8,1,5,2,4,8,1,0,1,6,0,0,242,0,9,85,53,41,7,1,4,2,7,3,0,0,1,4,0,1,182,0,5,35,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-10-04 06:00:00",Arsenal,"Sheffield Utd",Finished,0,"Mason L. (Eng)","Emirates Stadium (London)",2,1,0,0,2,1,0,0,"61',64'",83',73,4,3,0,1,7,2,0,0,0,3,0,0,344,0,5,75,21,27,1,0,1,0,2,1,1,0,3,6,0,1,123,0,3,32,19,57,2,2,0,0,5,0,0,0,1,0,0,0,355,0,3,68,20,43,5,2,1,2,0,3,2,0,0,3,0,0,250,0,8,53,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-11-23 09:30:00",Burnley,"Crystal Palace",Finished,0,"Friend K. (Eng)","Turf Moor (Burnley)",1,0,1,0,0,0,0,0,8',,53,2,1,1,0,3,4,1,0,3,4,0,0,247,0,7,49,17,47,4,3,1,0,5,4,0,0,0,3,0,0,210,0,7,60,17,39,8,3,2,3,8,0,1,0,2,9,0,2,162,0,7,36,9,61,11,2,4,5,10,3,2,0,3,6,0,0,249,0,5,63,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-10-24 07:00:00",Fulham,"Crystal Palace",Finished,0,"Scott G. (Eng)","Craven Cottage (London)",1,2,0,1,1,1,0,0,,"8',64'",68,8,1,4,3,8,3,0,0,3,5,0,0,348,0,9,72,42,32,7,4,2,1,5,2,1,0,1,7,0,0,167,0,9,33,14,64,8,2,5,1,5,1,1,0,5,6,1,0,295,0,10,61,39,36,7,6,1,0,7,2,1,0,1,4,0,1,199,0,13,37,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-10-03 12:00:00",Newcastle,Burnley,Finished,0,"Coote D. (Eng)","St. James' Park (Newcastle)",3,1,1,0,2,1,0,0,"14',65',77'",61',58,4,2,2,0,12,2,2,0,1,7,0,1,248,0,3,55,36,42,3,1,1,1,9,2,2,0,1,11,0,2,182,0,9,47,21,38,6,3,2,1,10,1,2,0,1,6,0,1,168,0,2,40,21,62,4,2,1,1,6,2,3,0,1,6,0,1,273,0,4,61,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-10-18 08:30:00",Tottenham,"West Ham",Finished,0,"Tierney P. (Eng)","Tottenham Hotspur Stadium (London)",3,3,3,0,0,3,0,0,"1',8',16'","82',85',",58,5,4,1,0,9,0,1,0,2,5,0,0,291,0,14,53,14,42,5,2,2,1,6,3,2,0,1,7,0,1,204,0,7,60,28,44,6,2,3,1,6,3,0,0,0,8,0,0,220,0,11,50,19,56,8,2,2,4,8,4,1,0,2,5,0,4,256,0,7,59,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-10-25 09:30:00",Wolves,Newcastle,Finished,0,"Mason L. (Eng)","Molineux Stadium (Wolverhampton)",1,1,0,0,1,1,0,0,80',89',64,4,1,3,0,3,1,0,0,1,4,0,0,377,0,7,71,29,36,2,1,0,1,4,2,0,0,1,3,0,1,196,0,10,38,13,62,12,2,5,5,7,1,0,0,0,6,0,0,325,0,4,75,38,38,3,1,0,2,6,1,1,0,1,7,0,0,204,0,13,41,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
