datetime,home_team_name,away_team_name,match_status,attendance,referee,venu,ft_home_score,ft_away_score,1ht_home_score,1ht_away_score,2ht_home_score,2ht_away_score,et_home_score,et_away_score,home_goal_minutes,away_goal_minutes,1ht_home_ball_possession,1ht_home_goal_attempts,1ht_home_shots_on_goal,1ht_home_shots_off_goal,1ht_home_blocked_shots,1ht_home_free_kicks,1ht_home_corner_kicks,1ht_home_offsides,1ht_home_throw_in,1ht_home_goalkeeper_saves,1ht_home_fouls,1ht_home_red_cards,1ht_home_yellow_cards,1ht_home_total_passes,1ht_home_completed_passes,1ht_home_tackles,1ht_home_attacks,1ht_home_dangerous_attacks,1ht_away_ball_possession,1ht_away_goal_attempts,1ht_away_shots_on_goal,1ht_away_shots_off_goal,1ht_away_blocked_shots,1ht_away_free_kicks,1ht_away_corner_kicks,1ht_away_offsides,1ht_away_throw_in,1ht_away_goalkeeper_saves,1ht_away_fouls,1ht_away_red_cards,1ht_away_yellow_cards,1ht_away_total_passes,1ht_away_completed_passes,1ht_away_tackles,1ht_away_attacks,1ht_away_dangerous_attacks,2ht_home_ball_possession,2ht_home_goal_attempts,2ht_home_shots_on_goal,2ht_home_shots_off_goal,2ht_home_blocked_shots,2ht_home_free_kicks,2ht_home_corner_kicks,2ht_home_offsides,2ht_home_throw_in,2ht_home_goalkeeper_saves,2ht_home_fouls,2ht_home_red_cards,2ht_home_yellow_cards,2ht_home_total_passes,2ht_home_completed_passes,2ht_home_tackles,2ht_home_attacks,2ht_home_dangerous_attacks,2ht_away_ball_possession,2ht_away_goal_attempts,2ht_away_shots_on_goal,2ht_away_shots_off_goal,2ht_away_blocked_shots,2ht_away_free_kicks,2ht_away_corner_kicks,2ht_away_offsides,2ht_away_throw_in,2ht_away_goalkeeper_saves,2ht_away_fouls,2ht_away_red_cards,2ht_away_yellow_cards,2ht_away_total_passes,2ht_away_completed_passes,2ht_away_tackles,2ht_away_attacks,2ht_away_dangerous_attacks,et_home_ball_possession,et_home_goal_attempts,et_home_shots_on_goal,et_home_shots_off_goal,et_home_blocked_shots,et_home_free_kicks,et_home_corner_kicks,et_home_offsides,et_home_throw_in,et_home_goalkeeper_saves,et_home_fouls,et_home_red_cards,et_home_yellow_cards,et_home_total_passes,et_home_completed_passes,et_home_tackles,et_home_attacks,et_home_dangerous_attacks,et_away_ball_possession,et_away_goal_attempts,et_away_shots_on_goal,et_away_shots_off_goal,et_away_blocked_shots,et_away_free_kicks,et_away_corner_kicks,et_away_offsides,et_away_throw_in,et_away_goalkeeper_saves,et_away_fouls,et_away_red_cards,et_away_yellow_cards,et_away_total_passes,et_away_completed_passes,et_away_tackles,et_away_attacks,et_away_dangerous_attacks
"2019-05-19 09:00:00","AC Milan",Frosinone,Finished,61765,"Manganiello G. (Ita)","Stadio Giuseppe Meazza (San Siro) (Milan)",2,0,0,0,2,0,0,0,"57',66'",,61,4,1,3,0,6,5,1,0,0,5,0,0,0,228,5,61,28,39,3,0,3,0,6,3,1,0,1,5,0,0,0,115,8,43,20,59,5,2,3,0,5,0,0,0,2,8,0,1,0,261,4,60,30,41,3,2,1,0,7,4,3,0,0,2,0,0,0,157,10,52,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-05-26 11:30:00",Fiorentina,Genoa,Finished,37527,"Orsato D. (Ita)","Stadio Artemio Franchi (Florence)",0,0,0,0,0,0,0,0,,,55,3,3,0,0,4,2,0,0,1,6,0,1,0,247,2,47,31,45,2,1,1,0,6,1,1,0,3,3,0,0,0,134,8,50,28,55,2,2,0,0,6,2,0,0,0,6,0,0,0,257,2,46,28,45,0,0,0,0,6,0,0,0,2,6,0,2,0,133,6,35,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2018-12-02 06:00:00",Torino,Genoa,Finished,15000,"Mariani M. (Ita)","Stadio Olimpico di Torino (Turin)",2,1,2,1,0,0,0,0,",",36',74,6,3,1,2,9,3,2,0,1,5,0,0,0,229,8,77,43,26,6,2,2,2,6,4,1,0,1,10,1,2,0,72,9,40,15,60,17,7,8,2,10,2,2,0,0,9,0,3,0,198,5,57,21,40,2,0,2,0,8,1,0,0,7,10,0,2,0,86,4,43,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2018-11-26 11:30:00",Cagliari,Torino,Finished,15804,"Pasqua F. (Ita)","Sardegna Arena (Cagliari)",0,0,0,0,0,0,0,0,,,59,2,1,1,0,9,2,0,0,0,5,0,0,0,253,5,75,25,41,1,0,1,0,5,1,0,0,1,9,0,0,0,146,8,52,17,35,1,0,1,0,11,1,1,0,5,7,0,2,0,131,6,63,15,65,7,5,2,0,7,3,4,0,0,4,0,0,0,229,8,64,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2018-09-23 09:00:00","AC Milan",Atalanta,Finished,51684,"Doveri D. (Ita)","Stadio Giuseppe Meazza (San Siro) (Milan)",2,2,1,0,1,2,0,0,"2',61'","54',",59,9,6,3,0,1,2,5,0,0,5,0,0,0,254,12,60,19,41,2,0,2,0,10,1,0,0,5,1,0,0,0,188,10,71,20,53,5,2,3,0,6,2,0,0,6,2,0,2,0,238,9,42,16,47,11,8,3,0,2,2,2,0,1,3,0,1,0,204,6,41,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-02-24 06:00:00",Bologna,Juventus,Finished,28934,"Calvarese G. (Ita)","Stadio Renato Dall'Ara (Bologna)",0,1,0,0,0,1,0,0,,67',48,7,0,7,0,9,1,0,0,1,2,0,1,0,175,10,63,36,52,2,1,1,0,2,3,1,0,0,8,0,1,0,195,7,55,21,60,6,4,2,0,10,3,1,0,2,10,0,1,0,184,10,56,25,40,3,3,0,0,11,2,2,0,4,9,0,1,0,153,12,54,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2018-11-10 09:00:00",Spal,Cagliari,Finished,13250,"Doveri D. (Ita)","Stadio Paolo Mazza (Ferrara)",2,2,1,0,1,2,0,0,"3',71'","73',76'",60,4,2,2,0,8,1,1,0,1,11,0,2,0,237,5,44,15,40,5,1,4,0,11,2,3,0,1,5,0,2,0,206,4,46,16,34,4,2,2,0,10,0,0,0,0,2,0,0,0,152,12,39,17,66,6,2,4,0,4,4,0,0,1,10,0,2,0,214,5,57,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-05-05 03:30:00",Empoli,Fiorentina,Finished,8285,"Irrati M. (Ita)","Stadio Carlo Castellani (Empoli)",1,0,0,0,1,0,0,0,54',,50,3,1,2,0,12,2,0,0,4,6,0,1,0,205,5,71,21,50,8,4,4,0,6,1,0,0,1,12,0,1,0,219,13,75,32,50,3,3,0,0,6,2,1,0,7,9,0,2,0,148,4,37,14,50,12,7,5,0,9,6,0,0,2,5,1,0,0,185,8,63,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2018-09-23 06:00:00",Chievo,Udinese,Finished,13100,"Pairetto L. (Ita)","Stadio Marc'Antonio Bentegodi (Verona)",0,2,0,0,0,2,0,0,,"76',90'",49,5,1,4,0,8,3,0,0,2,9,0,0,0,225,6,49,12,51,3,2,1,0,9,3,1,0,1,7,0,0,0,152,5,47,20,53,5,3,2,0,6,4,0,0,3,9,0,1,0,222,5,65,26,47,6,5,1,0,9,0,3,0,3,3,0,1,0,134,6,37,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2018-10-31 12:30:00","AC Milan",Genoa,Finished,46720,"Pasqua F. (Ita)","Stadio Giuseppe Meazza (San Siro) (Milan)",2,1,1,0,1,1,0,0,"4',",56',57,6,3,3,0,8,1,0,0,1,3,0,0,0,258,7,57,4,43,6,1,5,0,3,1,0,0,2,8,0,1,0,175,10,55,31,65,13,7,6,0,10,6,1,0,0,8,0,2,0,206,6,69,43,35,1,1,0,0,8,1,0,0,6,9,0,1,0,134,9,39,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-01-20 03:30:00",Frosinone,Atalanta,Finished,11993,"Chiffi D. (Ita)","Stadio Benito Stirpe (Frosinone)",0,5,0,2,0,3,0,0,,"11',44',47',64',73'",32,1,1,0,0,7,2,5,0,1,4,0,0,0,113,5,37,14,68,6,3,3,0,10,4,0,0,1,7,0,0,0,356,7,72,32,32,4,2,2,0,4,2,0,0,2,8,0,2,0,132,15,37,13,68,8,5,3,0,8,4,0,0,2,4,0,0,0,268,7,73,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2018-10-20 06:00:00","AS Roma",Spal,Finished,39839,"Pairetto L. (Ita)","Stadio Olimpico (Rome)",0,2,0,1,0,1,0,0,,"38',56'",63,7,5,2,0,2,3,1,0,0,8,0,1,0,244,7,50,37,37,1,1,0,0,9,3,0,0,5,2,0,1,0,140,8,45,23,59,6,4,2,0,7,5,1,0,3,6,0,2,0,258,5,79,33,41,4,4,0,0,10,6,2,0,4,3,1,4,0,127,9,26,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2018-12-02 09:00:00",Chievo,Lazio,Finished,7000,"Maresca F. (Ita)","Stadio Marc'Antonio Bentegodi (Verona)",1,1,1,0,0,1,0,0,25',66',34,4,2,2,0,3,2,3,0,3,6,0,1,0,129,11,46,10,66,6,3,2,1,6,2,2,0,1,3,0,1,0,278,5,85,28,46,1,0,0,1,8,2,1,0,3,5,0,3,0,64,10,33,19,54,11,4,5,2,4,4,1,0,0,9,0,1,0,282,10,102,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
