datetime,home_team_name,away_team_name,match_status,attendance,referee,venu,ft_home_score,ft_away_score,1ht_home_score,1ht_away_score,2ht_home_score,2ht_away_score,et_home_score,et_away_score,home_goal_minutes,away_goal_minutes,1ht_home_ball_possession,1ht_home_goal_attempts,1ht_home_shots_on_goal,1ht_home_shots_off_goal,1ht_home_blocked_shots,1ht_home_free_kicks,1ht_home_corner_kicks,1ht_home_offsides,1ht_home_throw_in,1ht_home_goalkeeper_saves,1ht_home_fouls,1ht_home_red_cards,1ht_home_yellow_cards,1ht_home_total_passes,1ht_home_completed_passes,1ht_home_tackles,1ht_home_attacks,1ht_home_dangerous_attacks,1ht_away_ball_possession,1ht_away_goal_attempts,1ht_away_shots_on_goal,1ht_away_shots_off_goal,1ht_away_blocked_shots,1ht_away_free_kicks,1ht_away_corner_kicks,1ht_away_offsides,1ht_away_throw_in,1ht_away_goalkeeper_saves,1ht_away_fouls,1ht_away_red_cards,1ht_away_yellow_cards,1ht_away_total_passes,1ht_away_completed_passes,1ht_away_tackles,1ht_away_attacks,1ht_away_dangerous_attacks,2ht_home_ball_possession,2ht_home_goal_attempts,2ht_home_shots_on_goal,2ht_home_shots_off_goal,2ht_home_blocked_shots,2ht_home_free_kicks,2ht_home_corner_kicks,2ht_home_offsides,2ht_home_throw_in,2ht_home_goalkeeper_saves,2ht_home_fouls,2ht_home_red_cards,2ht_home_yellow_cards,2ht_home_total_passes,2ht_home_completed_passes,2ht_home_tackles,2ht_home_attacks,2ht_home_dangerous_attacks,2ht_away_ball_possession,2ht_away_goal_attempts,2ht_away_shots_on_goal,2ht_away_shots_off_goal,2ht_away_blocked_shots,2ht_away_free_kicks,2ht_away_corner_kicks,2ht_away_offsides,2ht_away_throw_in,2ht_away_goalkeeper_saves,2ht_away_fouls,2ht_away_red_cards,2ht_away_yellow_cards,2ht_away_total_passes,2ht_away_completed_passes,2ht_away_tackles,2ht_away_attacks,2ht_away_dangerous_attacks,et_home_ball_possession,et_home_goal_attempts,et_home_shots_on_goal,et_home_shots_off_goal,et_home_blocked_shots,et_home_free_kicks,et_home_corner_kicks,et_home_offsides,et_home_throw_in,et_home_goalkeeper_saves,et_home_fouls,et_home_red_cards,et_home_yellow_cards,et_home_total_passes,et_home_completed_passes,et_home_tackles,et_home_attacks,et_home_dangerous_attacks,et_away_ball_possession,et_away_goal_attempts,et_away_shots_on_goal,et_away_shots_off_goal,et_away_blocked_shots,et_away_free_kicks,et_away_corner_kicks,et_away_offsides,et_away_throw_in,et_away_goalkeeper_saves,et_away_fouls,et_away_red_cards,et_away_yellow_cards,et_away_total_passes,et_away_completed_passes,et_away_tackles,et_away_attacks,et_away_dangerous_attacks
"2020-03-08 10:00:00",Mainz,Dusseldorf,Finished,21409,"Osmers H. (Ger)","Opel Arena (Mainz)",1,1,0,0,1,1,0,0,61',85',37,0,0,0,0,5,0,1,0,1,11,0,1,175,0,3,40,8,63,12,1,7,4,14,2,1,0,0,3,0,1,292,0,5,67,24,33,3,1,0,2,7,1,1,0,3,7,1,2,132,0,11,28,6,67,8,4,4,0,7,6,0,0,0,7,0,0,275,0,5,81,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-12-18 11:30:00",Wolfsburg,Schalke,Finished,24651,"Petersen M. (Ger)","Volkswagen Arena (Wolfsburg)",1,1,0,0,1,1,0,0,82',51',49,16,6,5,5,4,9,1,0,1,5,0,0,180,0,10,78,42,51,4,1,3,0,6,3,0,0,6,4,0,0,198,0,4,36,28,59,13,5,4,4,7,3,1,0,0,8,0,1,220,0,7,52,31,41,4,1,3,0,10,2,0,0,4,7,0,1,157,0,18,52,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-08-24 06:30:00",Dusseldorf,"Bayer Leverkusen",Finished,44538,"Ittrich P. (Ger)","Merkur Spiel-Arena (Düsseldorf)",1,3,0,3,1,0,0,0,82',"6',33',39'",31,4,2,0,2,4,0,0,0,1,6,0,0,153,108,11,53,8,69,6,4,1,1,6,2,0,0,2,4,0,1,335,292,6,59,8,33,7,4,3,0,8,1,1,0,3,8,0,3,143,109,6,59,14,67,5,3,1,1,10,3,1,0,3,6,0,1,308,273,17,50,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-08-25 06:30:00","RB Leipzig","Eintracht Frankfurt",Finished,40108,"Cortus B. (Ger)","Red Bull Arena (Leipzig)",2,1,1,0,1,1,0,0,"10',80'",89',46,9,2,4,3,11,2,0,0,1,3,0,1,240,193,10,44,19,54,3,1,2,0,3,1,2,0,1,8,0,1,273,226,6,63,19,44,3,3,0,0,7,2,1,0,3,7,0,1,167,120,15,44,17,56,7,4,2,1,8,0,1,0,2,5,0,2,250,206,8,67,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-06-13 06:30:00",Paderborn,"Werder Bremen",Finished,0,"Dingert C. (Ger)","Benteler Arena (Paderborn)",1,5,0,3,1,2,0,0,66',"20',34',39',59',",46,5,0,5,0,8,2,0,0,2,8,0,2,143,0,0,38,16,54,6,5,1,0,7,1,1,0,0,7,0,1,193,0,0,61,25,72,15,8,7,0,12,9,0,0,1,9,0,4,202,0,0,55,15,28,5,3,2,0,10,1,1,0,7,11,0,2,163,0,0,49,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-12-15 09:00:00",Schalke,"Eintracht Frankfurt",Finished,60811,"Zwayer F. (Ger)","Veltins Arena (Gelsenkirchen)",1,0,0,0,1,0,0,0,53',,63,7,3,3,1,6,3,2,0,2,8,0,0,264,0,3,55,24,37,6,2,4,0,10,0,0,0,3,6,0,1,162,0,10,51,9,37,4,2,1,1,6,4,1,0,1,7,1,1,129,0,7,45,31,63,12,1,5,6,8,6,0,0,1,6,0,3,216,0,18,68,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-02-08 06:30:00","Werder Bremen","Union Berlin",Finished,42100,"Schlager D. (Ger)","Weserstadion (Bremen)",0,2,0,0,0,2,0,0,,"52',72'",69,5,0,3,2,8,1,1,0,0,4,0,3,352,0,6,66,23,31,3,0,2,1,6,1,1,0,0,8,0,0,153,0,15,54,13,71,9,3,5,1,10,4,0,0,3,3,0,1,334,0,4,78,33,29,8,5,1,2,3,4,1,0,3,8,0,3,133,0,11,40,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-11-23 06:30:00","Werder Bremen",Schalke,Finished,42100,"Cortus B. (Ger)","Weserstadion (Bremen)",1,2,0,1,1,1,0,0,79',"43',53'",43,6,1,1,4,12,1,1,0,0,4,0,0,217,0,15,60,15,57,4,1,2,1,5,1,4,0,1,6,0,0,284,0,13,76,10,57,10,4,5,1,11,0,0,0,3,8,0,3,245,0,15,77,25,43,6,4,2,0,8,2,2,0,3,9,0,2,190,0,8,46,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-01-18 06:30:00",Hoffenheim,"Eintracht Frankfurt",Finished,29000,"Stegemann S. (Ger)","PreZero Arena (Sinsheim)",1,2,0,1,1,1,0,0,48',"18',62'",61,7,2,3,2,2,3,1,0,0,4,0,0,316,0,6,71,14,39,6,1,4,1,5,4,0,0,2,3,0,0,192,0,14,53,18,69,5,3,2,0,10,5,2,0,1,6,0,2,297,0,3,77,32,31,7,2,4,1,8,2,0,0,2,10,0,2,138,0,12,36,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-09-21 06:30:00","Bayer Leverkusen","Union Berlin",Finished,27430,"Hartmann R. (Ger)","BayArena (Leverkusen)",2,0,2,0,0,0,0,0,"20',25'",,68,4,2,1,1,4,2,1,0,0,5,0,0,430,388,4,79,13,32,0,0,0,0,6,0,1,0,0,2,0,0,206,156,5,52,6,66,16,5,6,5,8,6,1,0,0,5,0,0,323,287,6,72,29,34,4,0,2,2,6,1,0,0,5,8,1,1,162,117,12,37,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
