datetime,home_team_name,away_team_name,match_status,attendance,referee,venu,ft_home_score,ft_away_score,1ht_home_score,1ht_away_score,2ht_home_score,2ht_away_score,et_home_score,et_away_score,home_goal_minutes,away_goal_minutes,1ht_home_ball_possession,1ht_home_goal_attempts,1ht_home_shots_on_goal,1ht_home_shots_off_goal,1ht_home_blocked_shots,1ht_home_free_kicks,1ht_home_corner_kicks,1ht_home_offsides,1ht_home_throw_in,1ht_home_goalkeeper_saves,1ht_home_fouls,1ht_home_red_cards,1ht_home_yellow_cards,1ht_home_total_passes,1ht_home_completed_passes,1ht_home_tackles,1ht_home_attacks,1ht_home_dangerous_attacks,1ht_away_ball_possession,1ht_away_goal_attempts,1ht_away_shots_on_goal,1ht_away_shots_off_goal,1ht_away_blocked_shots,1ht_away_free_kicks,1ht_away_corner_kicks,1ht_away_offsides,1ht_away_throw_in,1ht_away_goalkeeper_saves,1ht_away_fouls,1ht_away_red_cards,1ht_away_yellow_cards,1ht_away_total_passes,1ht_away_completed_passes,1ht_away_tackles,1ht_away_attacks,1ht_away_dangerous_attacks,2ht_home_ball_possession,2ht_home_goal_attempts,2ht_home_shots_on_goal,2ht_home_shots_off_goal,2ht_home_blocked_shots,2ht_home_free_kicks,2ht_home_corner_kicks,2ht_home_offsides,2ht_home_throw_in,2ht_home_goalkeeper_saves,2ht_home_fouls,2ht_home_red_cards,2ht_home_yellow_cards,2ht_home_total_passes,2ht_home_completed_passes,2ht_home_tackles,2ht_home_attacks,2ht_home_dangerous_attacks,2ht_away_ball_possession,2ht_away_goal_attempts,2ht_away_shots_on_goal,2ht_away_shots_off_goal,2ht_away_blocked_shots,2ht_away_free_kicks,2ht_away_corner_kicks,2ht_away_offsides,2ht_away_throw_in,2ht_away_goalkeeper_saves,2ht_away_fouls,2ht_away_red_cards,2ht_away_yellow_cards,2ht_away_total_passes,2ht_away_completed_passes,2ht_away_tackles,2ht_away_attacks,2ht_away_dangerous_attacks,et_home_ball_possession,et_home_goal_attempts,et_home_shots_on_goal,et_home_shots_off_goal,et_home_blocked_shots,et_home_free_kicks,et_home_corner_kicks,et_home_offsides,et_home_throw_in,et_home_goalkeeper_saves,et_home_fouls,et_home_red_cards,et_home_yellow_cards,et_home_total_passes,et_home_completed_passes,et_home_tackles,et_home_attacks,et_home_dangerous_attacks,et_away_ball_possession,et_away_goal_attempts,et_away_shots_on_goal,et_away_shots_off_goal,et_away_blocked_shots,et_away_free_kicks,et_away_corner_kicks,et_away_offsides,et_away_throw_in,et_away_goalkeeper_saves,et_away_fouls,et_away_red_cards,et_away_yellow_cards,et_away_total_passes,et_away_completed_passes,et_away_tackles,et_away_attacks,et_away_dangerous_attacks
"2020-11-07 09:30:00",Dortmund,"Bayern Munich",Finished,0,"Grafe M. (Ger)","Signal Iduna Park (Dortmund)",2,3,1,1,1,2,0,0,"45',83'",",48',80'",48,8,1,7,0,7,2,0,0,4,8,0,1,244,0,0,20,9,52,9,5,4,0,8,1,3,0,0,4,0,1,251,0,0,27,10,54,7,4,3,0,4,2,4,0,1,7,0,1,260,0,0,39,20,46,7,3,4,0,11,2,1,0,3,3,0,1,219,0,0,45,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-09-19 06:30:00","Werder Bremen","Hertha Berlin",Finished,8500,"Stegemann S. (Ger)","Weserstadion (Bremen)",1,4,0,2,1,2,0,0,69',"42',,62',90'",37,5,2,3,0,9,4,0,0,0,7,0,0,146,0,0,48,17,63,3,2,1,0,7,0,0,0,2,9,0,0,223,0,0,48,16,51,12,5,7,0,7,3,0,0,2,6,0,2,150,0,0,49,26,49,10,4,6,0,6,4,0,0,4,8,0,0,171,0,0,54,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-11-07 06:30:00","RB Leipzig",Freiburg,Finished,0,"Zwayer F. (Ger)","Red Bull Arena (Leipzig)",3,0,1,0,2,0,0,0,"26',70',89'",,64,8,3,5,0,9,2,0,0,0,6,0,1,324,0,0,65,30,36,1,0,1,0,6,0,2,0,2,7,0,2,129,0,0,28,15,48,7,4,3,0,6,1,1,0,3,8,0,1,195,0,0,47,16,52,7,3,4,0,9,4,0,0,2,7,0,1,245,0,0,64,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-12-05 09:30:00","Bayern Munich","RB Leipzig",Finished,0,"Siebert D. (Ger)","Allianz Arena (Munich)",3,3,2,2,1,1,0,0,"30',34',75'","19',36',48'",58,5,3,2,0,6,6,0,0,0,0,0,0,295,0,0,73,16,42,6,2,4,0,0,2,3,0,1,3,0,0,179,0,0,37,11,62,5,3,2,0,6,4,0,0,1,5,0,0,312,0,0,83,36,38,2,2,0,0,5,0,1,0,2,5,0,1,193,0,0,32,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-10-17 09:30:00","Arminia Bielefeld","Bayern Munich",Finished,0,"Siebert D. (Ger)","Schüco Arena (Bielefeld)",1,4,0,3,1,1,0,0,58',"8',26',,51'",37,4,3,1,0,3,2,1,0,5,1,0,0,190,0,0,31,12,63,9,8,1,0,2,5,2,0,3,1,0,0,378,0,0,90,34,39,7,2,5,0,5,4,1,0,1,5,0,1,166,0,0,30,14,61,7,2,5,0,6,5,0,0,1,5,1,0,294,0,0,62,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-10-04 09:00:00","Bayern Munich","Hertha Berlin",Finished,0,"Cortus B. (Ger)","Allianz Arena (Munich)",4,3,1,0,3,3,0,0,"40',51',85',","59',71',88'",59,10,5,5,0,11,3,2,0,1,6,0,0,308,0,0,74,36,41,4,1,3,0,7,1,3,0,4,9,0,1,178,0,0,28,15,65,12,4,8,0,14,3,0,0,1,7,0,3,268,0,0,57,45,35,5,4,1,0,6,0,3,0,1,10,0,2,124,0,0,30,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-09-19 06:30:00","Union Berlin",Augsburg,Finished,5000,"Fritz M. (Ger)","Stadion An der Alten Försterei (Berlin)",1,3,0,1,1,2,0,0,75',"40',82',89'",49,4,0,4,0,6,2,3,0,1,4,0,1,220,0,0,59,32,51,4,2,2,0,8,0,1,0,0,5,0,0,224,0,0,44,15,64,9,3,6,0,4,6,1,0,1,5,0,1,279,0,0,71,28,36,5,3,2,0,6,1,0,0,2,4,0,0,118,0,0,28,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-11-07 06:30:00",Augsburg,"Hertha Berlin",Finished,0,"Willenborg F. (Ger)","WWK Arena (Augsburg)",0,3,0,1,0,2,0,0,,"44',52',86'",41,5,0,5,0,5,2,3,0,2,5,0,2,182,0,0,37,11,59,6,3,3,0,8,3,0,0,0,5,0,0,277,0,0,64,26,51,5,2,3,0,6,0,0,0,1,7,0,1,234,0,0,45,20,49,6,3,3,0,7,3,1,0,2,5,0,0,196,0,0,38,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-10-31 07:30:00",Augsburg,Mainz,Finished,0,"Fritz M. (Ger)","WWK Arena (Augsburg)",3,1,1,0,2,1,0,0,"40',80',",64',55,8,3,5,0,3,3,1,0,1,4,0,0,297,0,0,54,17,45,2,1,1,0,5,0,1,0,2,2,0,0,249,0,0,48,11,45,6,4,2,0,10,1,1,0,2,8,0,5,190,0,0,46,14,55,6,3,3,0,9,1,2,0,2,8,0,1,247,0,0,59,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-12-06 06:30:00","Werder Bremen",Stuttgart,Finished,0,"Willenborg F. (Ger)","Weserstadion (Bremen)",1,2,0,1,1,1,0,0,,"30',",46,7,1,6,0,4,2,0,0,3,6,0,2,172,0,0,40,14,54,5,4,1,0,5,2,0,0,1,5,0,1,214,0,0,57,16,56,7,3,4,0,11,0,0,0,2,4,0,2,284,0,0,103,29,44,6,3,3,0,2,2,1,0,2,10,0,3,198,0,0,47,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
