datetime,home_team_name,away_team_name,match_status,attendance,referee,venu,ft_home_score,ft_away_score,1ht_home_score,1ht_away_score,2ht_home_score,2ht_away_score,et_home_score,et_away_score,home_goal_minutes,away_goal_minutes,1ht_home_ball_possession,1ht_home_goal_attempts,1ht_home_shots_on_goal,1ht_home_shots_off_goal,1ht_home_blocked_shots,1ht_home_free_kicks,1ht_home_corner_kicks,1ht_home_offsides,1ht_home_throw_in,1ht_home_goalkeeper_saves,1ht_home_fouls,1ht_home_red_cards,1ht_home_yellow_cards,1ht_home_total_passes,1ht_home_completed_passes,1ht_home_tackles,1ht_home_attacks,1ht_home_dangerous_attacks,1ht_away_ball_possession,1ht_away_goal_attempts,1ht_away_shots_on_goal,1ht_away_shots_off_goal,1ht_away_blocked_shots,1ht_away_free_kicks,1ht_away_corner_kicks,1ht_away_offsides,1ht_away_throw_in,1ht_away_goalkeeper_saves,1ht_away_fouls,1ht_away_red_cards,1ht_away_yellow_cards,1ht_away_total_passes,1ht_away_completed_passes,1ht_away_tackles,1ht_away_attacks,1ht_away_dangerous_attacks,2ht_home_ball_possession,2ht_home_goal_attempts,2ht_home_shots_on_goal,2ht_home_shots_off_goal,2ht_home_blocked_shots,2ht_home_free_kicks,2ht_home_corner_kicks,2ht_home_offsides,2ht_home_throw_in,2ht_home_goalkeeper_saves,2ht_home_fouls,2ht_home_red_cards,2ht_home_yellow_cards,2ht_home_total_passes,2ht_home_completed_passes,2ht_home_tackles,2ht_home_attacks,2ht_home_dangerous_attacks,2ht_away_ball_possession,2ht_away_goal_attempts,2ht_away_shots_on_goal,2ht_away_shots_off_goal,2ht_away_blocked_shots,2ht_away_free_kicks,2ht_away_corner_kicks,2ht_away_offsides,2ht_away_throw_in,2ht_away_goalkeeper_saves,2ht_away_fouls,2ht_away_red_cards,2ht_away_yellow_cards,2ht_away_total_passes,2ht_away_completed_passes,2ht_away_tackles,2ht_away_attacks,2ht_away_dangerous_attacks,et_home_ball_possession,et_home_goal_attempts,et_home_shots_on_goal,et_home_shots_off_goal,et_home_blocked_shots,et_home_free_kicks,et_home_corner_kicks,et_home_offsides,et_home_throw_in,et_home_goalkeeper_saves,et_home_fouls,et_home_red_cards,et_home_yellow_cards,et_home_total_passes,et_home_completed_passes,et_home_tackles,et_home_attacks,et_home_dangerous_attacks,et_away_ball_possession,et_away_goal_attempts,et_away_shots_on_goal,et_away_shots_off_goal,et_away_blocked_shots,et_away_free_kicks,et_away_corner_kicks,et_away_offsides,et_away_throw_in,et_away_goalkeeper_saves,et_away_fouls,et_away_red_cards,et_away_yellow_cards,et_away_total_passes,et_away_completed_passes,et_away_tackles,et_away_attacks,et_away_dangerous_attacks
"2020-11-22 06:00:00",Inter,Torino,Finished,0,"La Penna F. (Ita)","Stadio Giuseppe Meazza (San Siro) (Milan)",4,2,0,1,4,1,0,0,"64',67',84',90'",",62'",53,2,1,1,0,5,1,3,0,2,6,0,1,0,250,13,82,22,47,7,3,4,0,9,1,0,0,1,5,0,1,0,211,12,39,26,61,7,6,1,0,9,0,1,0,2,14,0,2,0,200,9,64,30,39,4,3,1,0,14,0,0,0,2,9,0,1,0,150,2,29,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-12-06 11:45:00",Sampdoria,"AC Milan",Finished,0,"Calvarese G. (Ita)","Stadio Luigi Ferraris (Genoa)",1,2,0,1,1,1,0,0,82',"45',77'",30,2,2,0,0,8,3,0,0,3,4,0,2,0,68,7,31,11,70,6,4,2,0,3,5,1,0,2,7,0,1,0,256,3,69,38,50,4,1,3,0,11,6,1,0,1,7,0,0,0,131,3,58,27,50,3,2,1,0,7,1,1,0,0,9,0,0,0,197,7,50,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-11-08 06:00:00",Genoa,"AS Roma",Finished,0,"Irrati M. (Ita)","Stadio Luigi Ferraris (Genoa)",1,3,0,1,1,2,0,0,50',",66',85'",42,1,1,0,0,3,0,0,0,5,3,0,1,0,182,4,41,25,58,9,6,3,0,4,7,2,0,1,1,0,0,0,244,10,72,64,52,6,4,2,0,10,1,2,0,3,7,0,0,0,253,2,58,32,48,9,5,4,0,8,1,0,0,3,10,0,0,0,168,9,52,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-09-27 09:00:00",Napoli,Genoa,Finished,0,"Sacchi J. L. (Ita)","Stadio Diego Armando Maradona (Naples)",6,0,1,0,5,0,0,0,"10',46',57',65',69',72'",,53,7,3,4,0,9,2,1,0,1,4,0,0,0,265,16,54,30,47,2,1,1,0,5,2,0,0,2,9,0,0,0,255,3,43,23,61,11,8,3,0,6,2,0,0,0,2,0,1,0,325,8,57,11,39,1,0,1,0,2,0,2,0,3,4,0,2,0,165,2,31,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-11-08 03:30:00",Lazio,Juventus,Finished,0,"Massa D. (Ita)","Stadio Olimpico (Rome)",1,1,0,1,1,0,0,0,,15',50,4,1,3,0,3,2,0,0,4,3,0,1,0,249,4,53,52,50,6,5,1,0,3,1,0,0,1,3,0,0,0,270,4,46,32,58,3,2,1,0,10,2,0,0,1,9,0,1,0,253,7,64,52,42,3,1,2,0,9,1,2,0,1,9,0,2,0,168,9,39,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-10-17 09:00:00",Sampdoria,Lazio,Finished,0,"Orsato D. (Ita)","Stadio Luigi Ferraris (Genoa)",3,0,2,0,1,0,0,0,"32',41',74'",,58,5,3,2,0,6,2,0,0,1,5,0,1,0,246,7,52,18,42,4,1,3,0,6,0,2,0,1,4,0,2,0,180,4,59,17,48,6,5,1,0,6,1,0,0,0,7,0,1,0,189,6,56,30,52,4,0,4,0,6,3,0,0,4,6,0,0,0,236,7,68,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-10-24 06:00:00",Atalanta,Sampdoria,Finished,1000,"Calvarese G. (Ita)","Gewiss Stadium (Bergamo)",1,3,0,1,1,2,0,0,80',"13',59',",70,5,3,2,0,9,1,0,0,1,6,0,1,0,322,8,98,37,30,3,2,1,0,4,1,0,0,3,10,0,1,0,122,10,36,13,68,5,2,3,0,7,2,1,0,0,5,0,2,0,255,6,73,63,32,2,2,0,0,6,0,0,0,1,8,0,3,0,123,11,48,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-11-08 09:00:00",Bologna,Napoli,Finished,0,"Pasqua F. (Ita)","Stadio Renato Dall'Ara (Bologna)",0,1,0,1,0,0,0,0,,23',49,0,0,0,0,5,1,2,0,2,7,0,2,0,188,2,50,42,51,6,3,3,0,9,2,0,0,0,4,0,0,0,221,4,52,43,51,6,4,2,0,6,3,4,0,1,5,0,1,0,176,8,41,19,49,2,1,1,0,9,5,0,0,4,7,0,0,0,187,9,63,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-11-21 06:00:00",Crotone,Lazio,Finished,0,"Sacchi J. L. (Ita)","Stadio Ezio Scida (Crotone)",0,2,0,1,0,1,0,0,,"21',58'",51,7,2,5,0,9,0,1,0,5,5,0,2,0,151,9,68,28,49,9,6,3,0,7,2,2,0,2,7,0,2,0,153,11,69,26,51,5,5,0,0,3,2,1,0,2,6,0,1,0,178,10,75,39,49,4,3,1,0,6,4,0,0,5,4,0,2,0,150,12,56,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-09-27 06:00:00",Verona,Udinese,Finished,0,"Volpi M. (Ita)","Stadio Marc'Antonio Bentegodi (Verona)",1,0,0,0,1,0,0,0,57',,47,3,0,3,0,6,0,0,0,2,5,0,0,0,152,8,61,14,53,5,2,3,0,5,4,0,0,0,6,0,0,0,132,11,59,19,45,5,2,3,0,7,1,1,0,4,8,0,1,0,112,6,60,24,55,9,4,5,0,9,5,0,0,1,7,0,0,0,177,2,58,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
