datetime,home_team_name,away_team_name,match_status,attendance,referee,venu,ft_home_score,ft_away_score,1ht_home_score,1ht_away_score,2ht_home_score,2ht_away_score,et_home_score,et_away_score,home_goal_minutes,away_goal_minutes,1ht_home_ball_possession,1ht_home_goal_attempts,1ht_home_shots_on_goal,1ht_home_shots_off_goal,1ht_home_blocked_shots,1ht_home_free_kicks,1ht_home_corner_kicks,1ht_home_offsides,1ht_home_throw_in,1ht_home_goalkeeper_saves,1ht_home_fouls,1ht_home_red_cards,1ht_home_yellow_cards,1ht_home_total_passes,1ht_home_completed_passes,1ht_home_tackles,1ht_home_attacks,1ht_home_dangerous_attacks,1ht_away_ball_possession,1ht_away_goal_attempts,1ht_away_shots_on_goal,1ht_away_shots_off_goal,1ht_away_blocked_shots,1ht_away_free_kicks,1ht_away_corner_kicks,1ht_away_offsides,1ht_away_throw_in,1ht_away_goalkeeper_saves,1ht_away_fouls,1ht_away_red_cards,1ht_away_yellow_cards,1ht_away_total_passes,1ht_away_completed_passes,1ht_away_tackles,1ht_away_attacks,1ht_away_dangerous_attacks,2ht_home_ball_possession,2ht_home_goal_attempts,2ht_home_shots_on_goal,2ht_home_shots_off_goal,2ht_home_blocked_shots,2ht_home_free_kicks,2ht_home_corner_kicks,2ht_home_offsides,2ht_home_throw_in,2ht_home_goalkeeper_saves,2ht_home_fouls,2ht_home_red_cards,2ht_home_yellow_cards,2ht_home_total_passes,2ht_home_completed_passes,2ht_home_tackles,2ht_home_attacks,2ht_home_dangerous_attacks,2ht_away_ball_possession,2ht_away_goal_attempts,2ht_away_shots_on_goal,2ht_away_shots_off_goal,2ht_away_blocked_shots,2ht_away_free_kicks,2ht_away_corner_kicks,2ht_away_offsides,2ht_away_throw_in,2ht_away_goalkeeper_saves,2ht_away_fouls,2ht_away_red_cards,2ht_away_yellow_cards,2ht_away_total_passes,2ht_away_completed_passes,2ht_away_tackles,2ht_away_attacks,2ht_away_dangerous_attacks,et_home_ball_possession,et_home_goal_attempts,et_home_shots_on_goal,et_home_shots_off_goal,et_home_blocked_shots,et_home_free_kicks,et_home_corner_kicks,et_home_offsides,et_home_throw_in,et_home_goalkeeper_saves,et_home_fouls,et_home_red_cards,et_home_yellow_cards,et_home_total_passes,et_home_completed_passes,et_home_tackles,et_home_attacks,et_home_dangerous_attacks,et_away_ball_possession,et_away_goal_attempts,et_away_shots_on_goal,et_away_shots_off_goal,et_away_blocked_shots,et_away_free_kicks,et_away_corner_kicks,et_away_offsides,et_away_throw_in,et_away_goalkeeper_saves,et_away_fouls,et_away_red_cards,et_away_yellow_cards,et_away_total_passes,et_away_completed_passes,et_away_tackles,et_away_attacks,et_away_dangerous_attacks
"2012-11-14 16:30:00","Atl. Rafaela","River Plate",Finished,0,,,0,0,0,0,0,0,0,0,,,0,4,4,0,0,0,1,2,0,3,5,0,1,0,0,0,0,0,0,6,3,3,0,0,4,2,0,4,4,0,1,0,0,0,0,0,0,2,1,1,0,0,1,3,0,2,2,0,0,0,0,0,0,0,0,9,2,7,0,0,2,5,0,1,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2012-08-10 17:15:00",Lanus,"Newells Old Boys",Finished,0,,,0,1,0,1,0,0,0,0,,11',0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2012-08-04 14:15:00",Quilmes,"Boca Juniors",Finished,0,,,3,0,1,0,2,0,0,0,"12',61',86'",,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2012-11-05 16:30:00",Independiente,Lanus,Finished,0,,"Estadio José Amalfitani (Buenos Aires)",0,2,0,1,0,1,0,0,,"38',81'",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2013-02-24 13:00:00",Belgrano,"Colon Santa FE",Finished,0,,,2,1,1,0,1,1,0,0,"39',89'",56',0,7,5,2,0,0,1,4,0,4,5,0,2,0,0,0,0,0,0,10,4,6,0,0,3,1,0,4,4,0,1,0,0,0,0,0,0,2,1,1,0,0,2,2,0,1,4,0,3,0,0,0,0,0,0,3,2,1,0,0,1,2,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2013-06-03 16:15:00","All Boys","Newells Old Boys",Finished,0,,,2,1,1,0,1,1,0,0,"36',61'",78',39,6,2,4,0,0,1,3,0,3,6,0,0,0,0,0,0,0,61,7,3,4,0,0,2,0,0,1,8,0,1,0,0,0,0,0,39,4,1,3,0,0,3,2,0,1,11,0,2,0,0,0,0,0,61,8,2,6,0,0,4,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2012-08-26 13:15:00","San Martin S.J.","Velez Sarsfield",Finished,0,,"Estadio José Amalfitani (Buenos Aires)",0,3,0,1,0,2,0,0,,"35',48',67'",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2012-09-28 15:20:00",Quilmes,Belgrano,Finished,0,,,1,1,0,0,1,1,0,0,63',68',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2013-04-07 14:10:00","Newells Old Boys","Colon Santa FE",Finished,0,,"Estadio José Amalfitani (Buenos Aires)",1,2,0,0,1,2,0,0,57',"51',56'",76,9,1,8,0,0,2,1,0,2,6,0,2,0,0,0,0,0,24,3,2,1,0,0,0,1,0,1,9,0,1,0,0,0,0,0,70,5,2,3,0,0,5,2,0,0,5,0,2,0,0,0,0,0,30,6,2,4,0,0,1,0,0,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2012-08-20 11:00:00",Quilmes,"Union de Santa Fe",Finished,0,,"Estadio José Amalfitani (Buenos Aires)",2,1,1,1,1,0,0,0,"32',82'",35',0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2013-03-31 12:10:00","San Martin S.J.","Godoy Cruz",Finished,0,,,2,3,2,1,0,2,0,0,"20',32'","10',63',82'",38,4,2,2,0,0,2,0,0,0,7,0,0,0,0,0,0,0,62,7,1,6,0,0,2,2,0,0,13,0,3,0,0,0,0,0,36,5,1,4,0,0,4,0,0,6,10,0,2,0,0,0,0,0,65,16,8,8,0,0,2,2,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2012-08-31 16:30:00","All Boys","Union de Santa Fe",Finished,0,,,3,1,2,1,1,0,0,0,"24',31',50'",18',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2013-04-22 16:30:00",Tigre,"Argentinos Jrs",Finished,0,,,1,0,0,0,1,0,0,0,82',,54,2,0,2,0,0,1,3,0,1,11,1,3,0,0,0,0,0,46,10,1,9,0,0,3,0,0,0,6,1,2,0,0,0,0,0,52,7,4,3,0,0,2,2,0,1,8,0,2,0,0,0,0,0,48,5,1,4,0,0,3,0,0,3,10,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
