datetime,home_team_name,away_team_name,match_status,attendance,referee,venu,ft_home_score,ft_away_score,1ht_home_score,1ht_away_score,2ht_home_score,2ht_away_score,et_home_score,et_away_score,home_goal_minutes,away_goal_minutes,1ht_home_ball_possession,1ht_home_goal_attempts,1ht_home_shots_on_goal,1ht_home_shots_off_goal,1ht_home_blocked_shots,1ht_home_free_kicks,1ht_home_corner_kicks,1ht_home_offsides,1ht_home_throw_in,1ht_home_goalkeeper_saves,1ht_home_fouls,1ht_home_red_cards,1ht_home_yellow_cards,1ht_home_total_passes,1ht_home_completed_passes,1ht_home_tackles,1ht_home_attacks,1ht_home_dangerous_attacks,1ht_away_ball_possession,1ht_away_goal_attempts,1ht_away_shots_on_goal,1ht_away_shots_off_goal,1ht_away_blocked_shots,1ht_away_free_kicks,1ht_away_corner_kicks,1ht_away_offsides,1ht_away_throw_in,1ht_away_goalkeeper_saves,1ht_away_fouls,1ht_away_red_cards,1ht_away_yellow_cards,1ht_away_total_passes,1ht_away_completed_passes,1ht_away_tackles,1ht_away_attacks,1ht_away_dangerous_attacks,2ht_home_ball_possession,2ht_home_goal_attempts,2ht_home_shots_on_goal,2ht_home_shots_off_goal,2ht_home_blocked_shots,2ht_home_free_kicks,2ht_home_corner_kicks,2ht_home_offsides,2ht_home_throw_in,2ht_home_goalkeeper_saves,2ht_home_fouls,2ht_home_red_cards,2ht_home_yellow_cards,2ht_home_total_passes,2ht_home_completed_passes,2ht_home_tackles,2ht_home_attacks,2ht_home_dangerous_attacks,2ht_away_ball_possession,2ht_away_goal_attempts,2ht_away_shots_on_goal,2ht_away_shots_off_goal,2ht_away_blocked_shots,2ht_away_free_kicks,2ht_away_corner_kicks,2ht_away_offsides,2ht_away_throw_in,2ht_away_goalkeeper_saves,2ht_away_fouls,2ht_away_red_cards,2ht_away_yellow_cards,2ht_away_total_passes,2ht_away_completed_passes,2ht_away_tackles,2ht_away_attacks,2ht_away_dangerous_attacks,et_home_ball_possession,et_home_goal_attempts,et_home_shots_on_goal,et_home_shots_off_goal,et_home_blocked_shots,et_home_free_kicks,et_home_corner_kicks,et_home_offsides,et_home_throw_in,et_home_goalkeeper_saves,et_home_fouls,et_home_red_cards,et_home_yellow_cards,et_home_total_passes,et_home_completed_passes,et_home_tackles,et_home_attacks,et_home_dangerous_attacks,et_away_ball_possession,et_away_goal_attempts,et_away_shots_on_goal,et_away_shots_off_goal,et_away_blocked_shots,et_away_free_kicks,et_away_corner_kicks,et_away_offsides,et_away_throw_in,et_away_goalkeeper_saves,et_away_fouls,et_away_red_cards,et_away_yellow_cards,et_away_total_passes,et_away_completed_passes,et_away_tackles,et_away_attacks,et_away_dangerous_attacks
"2019-03-30 08:00:00",Brighton,Southampton,Finished,30636,"Oliver M. (Eng)","Amex Stadium (Brighton)",0,1,0,0,0,1,0,0,,53',47,6,0,4,2,4,2,3,0,1,5,0,1,196,0,10,56,13,53,6,1,3,2,8,4,0,0,0,4,0,0,212,0,5,75,33,73,8,1,5,2,6,4,3,0,0,3,0,0,329,0,9,81,39,27,2,1,1,0,7,1,0,0,1,6,0,2,134,0,4,57,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-04-28 04:00:00",Leicester,Arsenal,Finished,32037,"Oliver M. (Eng)","King Power Stadium (Leicester)",3,0,0,0,3,0,0,0,"59',86',",,73,12,5,4,3,10,6,1,0,1,6,0,1,342,288,12,76,36,27,4,1,2,1,7,1,1,0,5,8,1,2,125,77,8,42,11,61,12,7,2,3,6,2,1,0,0,7,0,2,268,226,8,69,42,39,2,0,1,1,8,5,2,0,4,5,0,1,168,112,8,39,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2018-09-15 07:00:00",Chelsea,Cardiff,Finished,40499,"Moss J. (Eng)","Stamford Bridge (London)",4,1,2,1,2,0,0,0,"37',44',80',83'",16',76,12,4,6,2,7,4,0,0,0,5,0,0,314,0,3,56,21,24,3,1,2,0,5,4,0,0,2,7,0,0,95,0,6,40,17,78,6,3,2,1,2,1,0,0,1,3,0,0,452,0,8,76,18,22,3,1,2,0,3,0,0,0,1,3,0,0,132,0,6,44,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-01-20 08:00:00",Fulham,Tottenham,Finished,24807,"Pawson C. (Eng)","Craven Cottage (London)",1,2,1,0,0,2,0,0,17',"51',",31,9,3,4,2,4,7,4,0,1,3,0,0,134,0,7,44,17,69,4,1,2,1,7,5,1,0,2,4,0,0,303,0,7,80,31,23,3,1,1,1,5,0,3,0,2,7,0,2,112,0,8,45,8,77,10,4,4,2,10,5,0,0,1,4,0,3,376,0,6,79,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2018-11-25 08:00:00",Wolves,Huddersfield,Finished,30130,"Friend K. (Eng)","Molineux Stadium (Wolverhampton)",0,2,0,1,0,1,0,0,,"6',74'",45,5,0,3,2,5,2,0,0,3,4,0,0,211,0,12,63,21,55,7,4,1,2,4,4,1,0,0,4,0,1,257,0,16,61,27,45,7,3,3,1,4,1,1,0,1,5,0,1,232,0,9,68,19,55,7,2,3,2,6,1,0,0,3,4,0,1,290,0,10,65,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2018-09-16 05:30:00",Wolves,Burnley,Finished,30406,"Marriner A. (Eng)","Molineux Stadium (Wolverhampton)",1,0,0,0,1,0,0,0,61',,60,14,6,2,6,5,5,0,0,1,4,0,0,306,0,7,67,33,40,4,1,3,0,4,0,1,0,6,4,0,2,205,0,8,41,9,58,16,1,11,4,5,3,1,0,1,6,0,2,261,0,6,65,38,42,3,1,2,0,7,2,0,0,0,5,0,2,190,0,9,68,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-05-12 07:00:00",Watford,"West Ham",Finished,20067,"Kavanagh C. (Eng)","Vicarage Road (Watford)",1,4,0,2,1,2,0,0,46',"15',39',71',78'",56,11,5,1,5,6,4,3,0,2,4,0,0,231,193,13,58,37,44,6,4,2,0,7,1,1,0,5,5,0,0,183,154,5,47,16,40,6,3,1,2,5,3,1,0,3,6,1,1,188,145,5,45,30,60,10,5,3,2,5,1,0,0,2,5,0,0,277,246,10,54,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2018-08-25 07:00:00",Southampton,Leicester,Finished,29925,"Moss J. (Eng)","St. Mary's Stadium (Southampton)",1,2,0,0,1,2,0,0,52',"56',",62,6,2,3,1,4,7,1,0,0,6,0,1,265,0,9,73,51,38,1,0,1,0,7,2,0,0,2,4,0,0,171,0,11,30,13,42,5,3,1,1,7,3,0,0,3,7,1,2,182,0,7,36,16,58,7,5,2,0,7,1,0,0,2,7,0,1,254,0,4,49,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-02-02 07:00:00",Chelsea,Huddersfield,Finished,40626,"Tierney P. (Eng)","Stamford Bridge (London)",5,0,2,0,3,0,0,0,"16',,66',69',86'",,67,13,4,5,4,3,4,1,0,0,3,0,0,384,0,14,74,42,33,3,0,1,2,4,0,0,0,2,4,0,0,183,0,10,42,23,63,10,3,3,4,2,7,1,0,2,5,0,0,353,0,13,73,36,37,2,2,0,0,6,2,1,0,0,1,0,0,212,0,3,39,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2018-12-05 12:00:00",Tottenham,Southampton,Finished,33012,"Taylor A. (Eng)","Wembley Stadium (London)",3,1,1,0,2,1,0,0,"9',51',55'",,58,7,4,3,0,3,5,3,0,1,3,0,0,303,0,4,45,25,42,3,1,2,0,6,0,2,0,3,1,0,0,211,0,10,60,17,46,6,4,0,2,4,3,1,0,3,4,0,0,224,0,5,40,11,54,15,4,7,4,6,6,0,0,2,4,0,0,262,0,5,57,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
