datetime,home_team_name,away_team_name,match_status,attendance,referee,venu,ft_home_score,ft_away_score,1ht_home_score,1ht_away_score,2ht_home_score,2ht_away_score,et_home_score,et_away_score,home_goal_minutes,away_goal_minutes,1ht_home_ball_possession,1ht_home_goal_attempts,1ht_home_shots_on_goal,1ht_home_shots_off_goal,1ht_home_blocked_shots,1ht_home_free_kicks,1ht_home_corner_kicks,1ht_home_offsides,1ht_home_throw_in,1ht_home_goalkeeper_saves,1ht_home_fouls,1ht_home_red_cards,1ht_home_yellow_cards,1ht_home_total_passes,1ht_home_completed_passes,1ht_home_tackles,1ht_home_attacks,1ht_home_dangerous_attacks,1ht_away_ball_possession,1ht_away_goal_attempts,1ht_away_shots_on_goal,1ht_away_shots_off_goal,1ht_away_blocked_shots,1ht_away_free_kicks,1ht_away_corner_kicks,1ht_away_offsides,1ht_away_throw_in,1ht_away_goalkeeper_saves,1ht_away_fouls,1ht_away_red_cards,1ht_away_yellow_cards,1ht_away_total_passes,1ht_away_completed_passes,1ht_away_tackles,1ht_away_attacks,1ht_away_dangerous_attacks,2ht_home_ball_possession,2ht_home_goal_attempts,2ht_home_shots_on_goal,2ht_home_shots_off_goal,2ht_home_blocked_shots,2ht_home_free_kicks,2ht_home_corner_kicks,2ht_home_offsides,2ht_home_throw_in,2ht_home_goalkeeper_saves,2ht_home_fouls,2ht_home_red_cards,2ht_home_yellow_cards,2ht_home_total_passes,2ht_home_completed_passes,2ht_home_tackles,2ht_home_attacks,2ht_home_dangerous_attacks,2ht_away_ball_possession,2ht_away_goal_attempts,2ht_away_shots_on_goal,2ht_away_shots_off_goal,2ht_away_blocked_shots,2ht_away_free_kicks,2ht_away_corner_kicks,2ht_away_offsides,2ht_away_throw_in,2ht_away_goalkeeper_saves,2ht_away_fouls,2ht_away_red_cards,2ht_away_yellow_cards,2ht_away_total_passes,2ht_away_completed_passes,2ht_away_tackles,2ht_away_attacks,2ht_away_dangerous_attacks,et_home_ball_possession,et_home_goal_attempts,et_home_shots_on_goal,et_home_shots_off_goal,et_home_blocked_shots,et_home_free_kicks,et_home_corner_kicks,et_home_offsides,et_home_throw_in,et_home_goalkeeper_saves,et_home_fouls,et_home_red_cards,et_home_yellow_cards,et_home_total_passes,et_home_completed_passes,et_home_tackles,et_home_attacks,et_home_dangerous_attacks,et_away_ball_possession,et_away_goal_attempts,et_away_shots_on_goal,et_away_shots_off_goal,et_away_blocked_shots,et_away_free_kicks,et_away_corner_kicks,et_away_offsides,et_away_throw_in,et_away_goalkeeper_saves,et_away_fouls,et_away_red_cards,et_away_yellow_cards,et_away_total_passes,et_away_completed_passes,et_away_tackles,et_away_attacks,et_away_dangerous_attacks
"2017-09-16 08:00:00",Monaco,Strasbourg,Finished,8310,"Hamel J. (Fra)","Stade Louis II (Monaco)",3,0,1,0,2,0,0,0,"44',51',67'",,61,8,3,3,2,6,3,1,0,0,7,0,0,214,174,0,47,40,39,1,0,1,0,8,3,1,0,2,5,0,1,133,85,0,50,22,57,6,2,2,2,7,2,1,0,1,6,0,2,279,242,0,49,29,43,10,1,5,4,7,2,0,0,0,7,0,1,188,150,0,52,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2017-10-13 11:45:00",Lyon,Monaco,Finished,43295,"Bastien B. (Fra)","Parc Olympique Lyonnais (Lyon)",3,2,2,2,1,0,0,0,"11',23',","17',34'",63,12,4,4,4,7,4,2,0,1,4,0,1,256,220,0,44,38,37,5,3,2,0,6,1,1,0,2,7,0,0,151,115,0,39,30,53,10,3,5,2,10,3,1,0,4,5,0,3,226,196,0,46,39,47,9,4,3,2,6,4,1,0,2,8,0,1,155,116,0,32,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2018-02-17 11:00:00",Montpellier,Guingamp,Finished,9936,"Abed K. (Fra)","Stade de la Mosson (Montpellier)",1,1,0,1,1,0,0,0,73',30',54,7,0,6,1,9,3,2,0,0,4,0,0,288,243,0,61,41,46,1,1,0,0,5,0,1,0,0,8,0,1,239,190,0,53,27,62,12,5,6,1,6,1,4,0,0,4,0,1,296,249,0,63,54,38,3,0,2,1,8,2,0,0,4,7,0,0,190,135,0,52,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2017-08-05 11:00:00",Lyon,Strasbourg,Finished,1979,"Buquet R. (Fra)","Parc Olympique Lyonnais (Lyon)",4,0,1,0,3,0,0,0,"23',59',61',",,64,7,4,1,2,7,3,3,0,0,6,0,2,0,0,0,0,0,36,1,0,1,0,8,0,0,0,3,7,0,1,0,0,0,0,0,60,5,3,2,0,10,0,1,0,1,5,0,0,0,0,0,0,0,40,4,1,2,1,6,4,3,0,0,9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2017-08-26 11:00:00",Caen,Metz,Finished,15697,"Brisard J. (Fra)","Stade Michel d'Ornano (Caen)",1,0,0,0,1,0,0,0,50',,53,7,0,5,2,7,4,1,0,1,6,0,0,0,0,0,43,30,47,3,1,2,0,7,2,1,0,0,6,0,1,0,0,0,49,29,53,9,4,3,2,12,5,2,0,1,5,0,2,0,0,0,57,30,47,6,1,2,3,8,1,2,0,3,10,0,1,0,0,0,47,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2017-09-30 11:00:00",Nantes,Metz,Finished,22104,"Hamel J. (Fra)","Stade de la Beaujoire (Nantes)",1,0,1,0,0,0,0,0,3',,46,7,3,3,1,3,2,0,0,1,5,0,0,209,175,0,30,26,54,8,1,3,4,5,4,1,0,2,2,0,0,247,203,0,45,39,60,8,3,4,1,8,2,1,0,0,9,0,2,270,233,0,47,35,40,1,0,1,0,9,0,0,0,3,7,1,4,178,137,0,34,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2017-08-20 06:00:00",Lille,Caen,Finished,28740,"Abed K. (Fra)","Stade Pierre-Mauroy (Villeneuve d'Ascq)",0,2,0,1,0,1,0,0,,"5',69'",67,2,0,1,1,8,1,2,0,0,4,0,0,0,0,0,0,0,33,4,1,2,1,6,3,0,0,0,8,0,1,0,0,0,0,0,61,13,4,5,4,5,4,1,0,1,5,0,2,0,0,0,0,0,39,7,2,5,0,6,0,1,0,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2018-01-13 11:00:00",Troyes,Bordeaux,Finished,10822,"Brisard J. (Fra)","Stade de l'Aube (Troyes)",0,1,0,1,0,0,0,0,,15',62,4,3,0,1,10,0,0,0,2,6,0,1,281,228,0,48,29,38,6,3,2,1,6,0,3,0,3,8,0,0,167,121,0,47,25,60,4,0,3,1,6,2,0,0,1,9,0,3,241,179,0,55,39,40,4,1,0,3,9,2,1,0,0,5,0,0,162,119,0,45,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2018-04-21 11:00:00",Metz,Caen,Finished,16518,"Abed K. (Fra)","Stade Municipal Saint-Symphorien (Metz)",1,1,0,0,1,1,0,0,71',73',50,10,2,5,3,5,4,1,0,1,5,0,0,233,181,0,35,15,50,2,1,1,0,6,0,0,0,2,5,0,0,243,186,0,50,18,68,5,1,4,0,6,3,1,0,2,4,0,2,321,258,0,60,27,32,3,3,0,0,5,2,0,0,0,6,0,1,144,83,0,45,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2017-08-12 11:00:00",Caen,"St Etienne",Finished,17606,"Jochem S. (Fra)","Stade Michel d'Ornano (Caen)",0,1,0,0,0,1,0,0,,67',45,4,2,1,1,7,5,0,0,3,6,0,0,0,0,0,0,0,55,6,3,1,2,6,0,2,0,2,5,0,0,0,0,0,0,0,47,7,2,5,0,10,3,3,0,0,6,0,1,0,0,0,0,0,53,0,1,-1,0,10,2,0,0,2,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
