datetime,home_team_name,away_team_name,match_status,attendance,referee,venu,ft_home_score,ft_away_score,1ht_home_score,1ht_away_score,2ht_home_score,2ht_away_score,et_home_score,et_away_score,home_goal_minutes,away_goal_minutes,1ht_home_ball_possession,1ht_home_goal_attempts,1ht_home_shots_on_goal,1ht_home_shots_off_goal,1ht_home_blocked_shots,1ht_home_free_kicks,1ht_home_corner_kicks,1ht_home_offsides,1ht_home_throw_in,1ht_home_goalkeeper_saves,1ht_home_fouls,1ht_home_red_cards,1ht_home_yellow_cards,1ht_home_total_passes,1ht_home_completed_passes,1ht_home_tackles,1ht_home_attacks,1ht_home_dangerous_attacks,1ht_away_ball_possession,1ht_away_goal_attempts,1ht_away_shots_on_goal,1ht_away_shots_off_goal,1ht_away_blocked_shots,1ht_away_free_kicks,1ht_away_corner_kicks,1ht_away_offsides,1ht_away_throw_in,1ht_away_goalkeeper_saves,1ht_away_fouls,1ht_away_red_cards,1ht_away_yellow_cards,1ht_away_total_passes,1ht_away_completed_passes,1ht_away_tackles,1ht_away_attacks,1ht_away_dangerous_attacks,2ht_home_ball_possession,2ht_home_goal_attempts,2ht_home_shots_on_goal,2ht_home_shots_off_goal,2ht_home_blocked_shots,2ht_home_free_kicks,2ht_home_corner_kicks,2ht_home_offsides,2ht_home_throw_in,2ht_home_goalkeeper_saves,2ht_home_fouls,2ht_home_red_cards,2ht_home_yellow_cards,2ht_home_total_passes,2ht_home_completed_passes,2ht_home_tackles,2ht_home_attacks,2ht_home_dangerous_attacks,2ht_away_ball_possession,2ht_away_goal_attempts,2ht_away_shots_on_goal,2ht_away_shots_off_goal,2ht_away_blocked_shots,2ht_away_free_kicks,2ht_away_corner_kicks,2ht_away_offsides,2ht_away_throw_in,2ht_away_goalkeeper_saves,2ht_away_fouls,2ht_away_red_cards,2ht_away_yellow_cards,2ht_away_total_passes,2ht_away_completed_passes,2ht_away_tackles,2ht_away_attacks,2ht_away_dangerous_attacks,et_home_ball_possession,et_home_goal_attempts,et_home_shots_on_goal,et_home_shots_off_goal,et_home_blocked_shots,et_home_free_kicks,et_home_corner_kicks,et_home_offsides,et_home_throw_in,et_home_goalkeeper_saves,et_home_fouls,et_home_red_cards,et_home_yellow_cards,et_home_total_passes,et_home_completed_passes,et_home_tackles,et_home_attacks,et_home_dangerous_attacks,et_away_ball_possession,et_away_goal_attempts,et_away_shots_on_goal,et_away_shots_off_goal,et_away_blocked_shots,et_away_free_kicks,et_away_corner_kicks,et_away_offsides,et_away_throw_in,et_away_goalkeeper_saves,et_away_fouls,et_away_red_cards,et_away_yellow_cards,et_away_total_passes,et_away_completed_passes,et_away_tackles,et_away_attacks,et_away_dangerous_attacks
"2020-09-20 06:00:00",Strasbourg,Dijon,Finished,4392,"Batta F. (Fra)","Stade de la Meinau (Strasbourg)",1,0,0,0,1,0,0,0,80',,60,7,1,5,1,9,4,0,0,0,6,0,0,308,0,4,64,33,40,3,0,2,1,7,1,1,0,1,9,0,0,196,0,7,44,16,56,10,5,2,3,8,4,2,0,2,4,0,0,257,0,12,56,35,44,3,2,1,0,6,1,0,0,4,7,0,0,206,0,5,42,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-09-27 08:00:00",Lorient,Lyon,Finished,4977,"Turpin C. (Fra)","Stade du Moustoir (Lorient)",1,1,0,0,1,1,0,0,63',74',29,1,1,0,0,5,0,0,0,2,11,0,0,158,0,18,30,7,71,8,2,4,2,11,3,0,0,1,5,0,0,373,0,2,95,35,33,3,1,1,1,2,1,1,0,3,8,0,2,143,0,10,29,13,67,11,4,6,1,9,2,0,0,0,2,0,0,299,0,3,89,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-11-22 12:00:00",Lille,Lorient,Finished,0,"Delajod W. (Fra)","Stade Pierre-Mauroy (Villeneuve d'Ascq)",4,0,1,0,3,0,0,0,"29',51',57',90'",,70,19,7,6,6,6,4,0,0,1,4,0,1,384,0,13,91,37,30,3,1,1,1,4,1,0,0,6,7,0,2,160,0,11,32,7,58,12,6,2,4,5,5,0,0,1,6,0,0,311,0,6,51,25,42,4,1,0,3,6,3,0,0,3,4,0,1,236,0,17,47,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-11-08 08:00:00",Nice,Monaco,Finished,0,"Abed K. (Fra)","Allianz Riviera (Nice)",1,2,0,1,1,1,0,0,69',"23',53'",58,1,1,0,0,8,0,1,0,6,2,0,1,308,0,9,53,21,42,11,7,2,2,3,4,1,0,1,7,0,0,215,0,11,47,24,66,7,3,2,2,9,1,1,0,0,6,0,1,295,0,2,57,27,34,4,1,3,0,6,0,0,0,2,9,0,2,146,0,11,27,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-09-12 08:00:00",Montpellier,Nice,Finished,3252,"Gautier A. (Fra)","Stade de la Mosson (Montpellier)",3,1,1,0,2,1,0,0,"18',50',64'",69',41,11,6,2,3,6,4,0,0,0,7,0,0,174,0,10,52,26,59,3,0,1,2,9,4,0,0,5,6,0,1,258,0,6,56,16,33,9,7,1,1,10,4,1,0,0,10,0,0,107,0,5,42,21,67,6,1,3,2,12,5,0,0,5,10,0,1,225,0,5,50,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-09-19 08:00:00",Lens,Bordeaux,Finished,4871,"Millot B. (Fra)","Stade Bollaert-Delelis (Lens)",2,1,0,0,2,1,0,0,"47',59'",,54,12,2,6,4,7,5,0,0,2,10,0,3,214,0,7,79,16,46,3,2,1,0,10,0,0,0,2,8,0,2,185,0,10,33,6,64,7,3,2,2,8,2,1,0,0,5,0,2,331,0,8,71,18,36,4,1,3,0,6,0,1,0,1,7,1,3,195,0,5,47,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-10-04 04:00:00",Montpellier,Nimes,Finished,0,"Millot B. (Fra)","Stade de la Mosson (Montpellier)",0,1,0,0,0,1,0,0,,84',52,8,1,3,4,8,4,1,0,0,8,0,1,189,0,5,44,23,48,5,0,3,2,9,1,0,0,1,8,0,1,176,0,7,58,15,52,4,1,2,1,8,4,1,0,0,6,0,1,208,0,8,54,27,48,3,1,1,1,7,1,0,0,1,7,0,0,201,0,6,47,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-08-30 06:00:00",Angers,Bordeaux,Finished,4000,"Abed K. (Fra)","Stade Raymond-Kopa (Angers)",0,2,0,2,0,0,0,0,,"25',27'",53,3,0,1,2,10,4,1,0,3,3,0,0,264,0,9,73,24,47,5,5,0,0,4,5,0,0,0,7,0,0,222,0,14,43,21,61,9,2,3,4,10,1,0,0,2,9,0,0,274,0,11,74,40,39,2,2,0,0,9,2,1,0,2,12,0,0,189,0,16,51,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-11-01 08:00:00",Monaco,Bordeaux,Finished,0,"Buquet R. (Fra)","Stade Louis II (Monaco)",4,0,3,0,1,0,0,0,"28',30',32',59'",,64,8,3,1,4,6,5,2,0,0,4,0,1,314,0,3,59,26,36,2,0,1,1,6,1,0,0,0,7,0,1,170,0,4,25,10,40,9,3,4,2,7,5,0,0,0,6,0,1,160,0,13,39,16,60,3,0,0,3,5,3,1,0,2,5,0,1,269,0,8,41,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-11-27 12:00:00",Strasbourg,Rennes,Finished,0,"Millot B. (Fra)","Stade de la Meinau (Strasbourg)",1,1,1,0,0,1,0,0,24',60',44,4,2,1,1,5,2,0,0,1,8,1,0,195,0,9,58,18,56,6,1,4,1,10,1,0,0,1,5,0,0,258,0,5,55,25,16,2,1,1,0,7,0,1,0,5,3,0,0,89,0,6,32,4,84,15,6,4,5,2,6,0,0,1,7,0,0,363,0,4,79,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
