datetime,player1_name,player1_rank,player2_name,player2_rank,match_status,player1_full_time_score,player2_full_time_score,full_time_duration,set1_player1_score,set1_player2_score,set1_player1_tiebreak,set1_player2_tiebreak,set1_duration,set2_player1_score,set2_player2_score,set2_player1_tiebreak,set2_player2_tiebreak,set2_duration,set3_player1_score,set3_player2_score,set3_player1_tiebreak,set3_player2_tiebreak,set3_duration,set4_player1_score,set4_player2_score,set4_player1_tiebreak,set4_player2_tiebreak,set4_duration,set5_player1_score,set5_player2_score,set5_player1_tiebreak,set5_player2_tiebreak,set5_duration,set1_player1_aces,set1_player2_aces,set1_player1_double_faults,set1_player2_double_faults,set1_player1_1st_serve_percentage,set1_player2_1st_serve_percentage,set1_player1_1st_serve_points_won,set1_player2_1st_serve_points_won,set1_player1_2nd_serve_points_won,set1_player2_2nd_serve_points_won,set1_player1_break_points_saved,set1_player2_break_points_saved,set1_player1_1st_return_points_won,set1_player2_1st_return_points_won,set1_player1_2nd_return_points_won,set1_player2_2nd_return_points_won,set1_player1_break_points_converted,set1_player2_break_points_converted,set1_player1_winners,set1_player2_winners,set1_player1_unforced_errors,set1_player2_unforced_errors,set1_player1_net_points_won,set1_player2_net_points_won,set1_player1_max_points_in_row,set1_player2_max_points_in_row,set1_player1_service_points_won,set1_player2_service_points_won,set1_player1_return_points_won,set1_player2_return_points_won,set1_player1_total_points_won,set1_player2_total_points_won,set1_player1_max_games_in_row,set1_player2_max_games_in_row,set1_player1_service_games_won,set1_player2_service_games_won,set1_player1_return_games_won,set1_player2_return_games_won,set1_player1_total_games_won,set1_player2_total_games_won,set1_player1_distance_covered_meters,set1_player2_distance_covered_meters,set2_player1_aces,set2_player2_aces,set2_player1_double_faults,set2_player2_double_faults,set2_player1_1st_serve_percentage,set2_player2_1st_serve_percentage,set2_player1_1st_serve_points_won,set2_player2_1st_serve_points_won,set2_player1_2nd_serve_points_won,set2_player2_2nd_serve_points_won,set2_player1_break_points_saved,set2_player2_break_points_saved,set2_player1_1st_return_points_won,set2_player2_1st_return_points_won,set2_player1_2nd_return_points_won,set2_player2_2nd_return_points_won,set2_player1_break_points_converted,set2_player2_break_points_converted,set2_player1_winners,set2_player2_winners,set2_player1_unforced_errors,set2_player2_unforced_errors,set2_player1_net_points_won,set2_player2_net_points_won,set2_player1_max_points_in_row,set2_player2_max_points_in_row,set2_player1_service_points_won,set2_player2_service_points_won,set2_player1_return_points_won,set2_player2_return_points_won,set2_player1_total_points_won,set2_player2_total_points_won,set2_player1_max_games_in_row,set2_player2_max_games_in_row,set2_player1_service_games_won,set2_player2_service_games_won,set2_player1_return_games_won,set2_player2_return_games_won,set2_player1_total_games_won,set2_player2_total_games_won,set2_player1_distance_covered_meters,set2_player2_distance_covered_meters,set3_player1_aces,set3_player2_aces,set3_player1_double_faults,set3_player2_double_faults,set3_player1_1st_serve_percentage,set3_player2_1st_serve_percentage,set3_player1_1st_serve_points_won,set3_player2_1st_serve_points_won,set3_player1_2nd_serve_points_won,set3_player2_2nd_serve_points_won,set3_player1_break_points_saved,set3_player2_break_points_saved,set3_player1_1st_return_points_won,set3_player2_1st_return_points_won,set3_player1_2nd_return_points_won,set3_player2_2nd_return_points_won,set3_player1_break_points_converted,set3_player2_break_points_converted,set3_player1_winners,set3_player2_winners,set3_player1_unforced_errors,set3_player2_unforced_errors,set3_player1_net_points_won,set3_player2_net_points_won,set3_player1_max_points_in_row,set3_player2_max_points_in_row,set3_player1_service_points_won,set3_player2_service_points_won,set3_player1_return_points_won,set3_player2_return_points_won,set3_player1_total_points_won,set3_player2_total_points_won,set3_player1_max_games_in_row,set3_player2_max_games_in_row,set3_player1_service_games_won,set3_player2_service_games_won,set3_player1_return_games_won,set3_player2_return_games_won,set3_player1_total_games_won,set3_player2_total_games_won,set3_player1_distance_covered_meters,set3_player2_distance_covered_meters,set4_player1_aces,set4_player2_aces,set4_player1_double_faults,set4_player2_double_faults,set4_player1_1st_serve_percentage,set4_player2_1st_serve_percentage,set4_player1_1st_serve_points_won,set4_player2_1st_serve_points_won,set4_player1_2nd_serve_points_won,set4_player2_2nd_serve_points_won,set4_player1_break_points_saved,set4_player2_break_points_saved,set4_player1_1st_return_points_won,set4_player2_1st_return_points_won,set4_player1_2nd_return_points_won,set4_player2_2nd_return_points_won,set4_player1_break_points_converted,set4_player2_break_points_converted,set4_player1_winners,set4_player2_winners,set4_player1_unforced_errors,set4_player2_unforced_errors,set4_player1_net_points_won,set4_player2_net_points_won,set4_player1_max_points_in_row,set4_player2_max_points_in_row,set4_player1_service_points_won,set4_player2_service_points_won,set4_player1_return_points_won,set4_player2_return_points_won,set4_player1_total_points_won,set4_player2_total_points_won,set4_player1_max_games_in_row,set4_player2_max_games_in_row,set4_player1_service_games_won,set4_player2_service_games_won,set4_player1_return_games_won,set4_player2_return_games_won,set4_player1_total_games_won,set4_player2_total_games_won,set4_player1_distance_covered_meters,set4_player2_distance_covered_meters,set5_player1_aces,set5_player2_aces,set5_player1_double_faults,set5_player2_double_faults,set5_player1_1st_serve_percentage,set5_player2_1st_serve_percentage,set5_player1_1st_serve_points_won,set5_player2_1st_serve_points_won,set5_player1_2nd_serve_points_won,set5_player2_2nd_serve_points_won,set5_player1_break_points_saved,set5_player2_break_points_saved,set5_player1_1st_return_points_won,set5_player2_1st_return_points_won,set5_player1_2nd_return_points_won,set5_player2_2nd_return_points_won,set5_player1_break_points_converted,set5_player2_break_points_converted,set5_player1_winners,set5_player2_winners,set5_player1_unforced_errors,set5_player2_unforced_errors,set5_player1_net_points_won,set5_player2_net_points_won,set5_player1_max_points_in_row,set5_player2_max_points_in_row,set5_player1_service_points_won,set5_player2_service_points_won,set5_player1_return_points_won,set5_player2_return_points_won,set5_player1_total_points_won,set5_player2_total_points_won,set5_player1_max_games_in_row,set5_player2_max_games_in_row,set5_player1_service_games_won,set5_player2_service_games_won,set5_player1_return_games_won,set5_player2_return_games_won,set5_player1_total_games_won,set5_player2_total_games_won,set5_player1_distance_covered_meters,set5_player2_distance_covered_meters
"2020-11-02 02:10:00","Krajinovic F.",31,"Lopez F.",64,Finished,0,2,1:25,6,7,11,13,1:01,1,6,0,0,0:24,0,0,0,0,,0,0,0,0,,0,0,0,0,,4,14,2,4,61,56,21/28,24/24,10/18,8/19,0/1,1/2,0/24,7/28,7/19,6/18,1/2,1/1,0,0,0,0,,,0,0,31/46,32/43,11/43,15/46,42/89,47/89,0,0,5/6,5/6,1/6,1/6,6/12,6/12,,,1,7,1,0,47,53,4/8,10/10,3/9,6/9,1/3,0/0,0/10,4/8,3/9,5/9,0/0,2/3,0,0,0,0,,,0,0,7/17,16/19,3/19,10/17,10/36,26/36,0,0,1/3,4/4,0/4,2/3,1/7,6/7,,,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,,,0,0,,,,,,,0,0,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,,,0,0,,,,,,,0,0,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,,,0,0,,,,,,,0,0,,,,,,,,
"2020-11-06 12:20:00","Zverev A.",7,"Wawrinka S.",18,Finished,2,0,1:28,6,3,0,0,0:33,7,6,7,1,0:55,0,0,0,0,,0,0,0,0,,0,0,0,0,,5,1,2,1,83,54,15/20,9/14,0/4,4/12,2/3,0/3,5/14,5/20,7/12,2/4,3/3,1/3,0,0,0,0,,,0,0,15/24,13/26,13/26,9/24,28/50,22/50,0,0,3/4,2/5,3/5,1/4,6/9,3/9,,,3,1,0,0,68,56,22/26,14/22,6/12,10/17,0/1,0/1,8/22,4/26,7/17,6/12,1/1,1/1,0,0,0,0,,,0,0,28/38,24/39,15/39,10/38,43/77,34/77,0,0,5/6,5/6,1/6,1/6,6/12,6/12,,,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,,,0,0,,,,,,,0,0,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,,,0,0,,,,,,,0,0,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,,,0,0,,,,,,,0,0,,,,,,,,
"2020-10-31 12:10:00","Travaglia S.",74,"Sousa P.",105,Finished,2,1,1:58,6,3,0,0,0:28,4,6,0,0,0:38,7,6,7,3,0:52,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,,,0,0,,,,,,,0,0,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,,,0,0,,,,,,,0,0,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,,,0,0,,,,,,,0,0,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,,,0,0,,,,,,,0,0,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,,,0,0,,,,,,,0,0,,,,,,,,
"2020-11-01 04:15:00","Fucsovics M.",55,"Pospisil V.",61,Finished,2,1,2:45,4,6,0,0,0:46,7,6,7,3,1:16,6,2,0,0,0:43,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,,,0,0,,,,,,,0,0,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,,,0,0,,,,,,,0,0,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,,,0,0,,,,,,,0,0,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,,,0,0,,,,,,,0,0,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,,,0,0,,,,,,,0,0,,,,,,,,
"2020-11-07 05:10:00","Medvedev D.",4,"Raonic M.",14,Finished,2,0,1:38,6,4,0,0,0:38,7,6,7,4,1:00,0,0,0,0,,0,0,0,0,,0,0,0,0,,1,7,1,0,71,66,16/17,16/19,4/7,2/10,0/0,1/2,3/19,1/17,8/10,2/7,1/2,0/0,0,0,0,0,,,0,0,20/24,18/29,11/29,4/24,31/53,22/53,0,0,5/5,4/5,1/5,0/5,6/10,4/10,,,6,5,2,1,74,72,25/34,22/28,6/12,4/11,6/7,0/1,6/28,9/34,6/11,4/12,1/1,1/7,0,0,0,0,,,0,0,31/46,26/39,13/39,15/46,44/85,41/85,0,0,5/6,5/6,1/6,1/6,6/12,6/12,,,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,,,0,0,,,,,,,0,0,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,,,0,0,,,,,,,0,0,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,,,0,0,,,,,,,0,0,,,,,,,,
"2020-11-02 04:35:00","Thompson J.",51,"Delbonis F.",82,Finished,2,0,1:19,6,2,0,0,0:40,6,3,0,0,0:39,0,0,0,0,,0,0,0,0,,0,0,0,0,,2,0,0,1,65,48,11/17,9/13,7/9,5/14,1/1,2/4,4/13,6/17,8/14,2/9,2/4,0/1,0,0,0,0,,,0,0,18/26,14/27,13/27,8/26,31/53,22/53,0,0,4/4,2/4,2/4,0/4,6/8,2/8,,,3,1,1,1,68,74,12/13,15/25,4/6,3/9,0/0,2/4,10/25,1/13,5/9,1/6,2/4,0/0,0,0,0,0,,,0,0,16/19,18/34,16/34,3/19,32/53,21/53,0,0,4/4,3/5,2/5,0/4,6/9,3/9,,,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,,,0,0,,,,,,,0,0,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,,,0,0,,,,,,,0,0,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,,,0,0,,,,,,,0,0,,,,,,,,
"2020-11-03 08:50:00","Kecmanovic M.",44,"Millman J.",38,Finished,2,0,1:18,6,4,0,0,0:40,6,2,0,0,0:38,0,0,0,0,,0,0,0,0,,0,0,0,0,,1,4,1,1,48,70,11/13,16/23,9/14,4/10,0/0,1/2,7/23,2/13,5/10,4/14,1/2,0/0,0,0,0,0,,,0,0,20/27,20/33,13/33,7/27,33/60,27/60,0,0,5/5,4/5,1/5,0/5,6/10,4/10,,,4,4,0,0,58,79,11/14,9/19,4/10,2/5,2/3,2/5,10/19,3/14,3/5,6/10,3/5,1/3,0,0,0,0,,,0,0,15/24,11/24,13/24,9/24,28/48,20/48,0,0,3/4,1/4,3/4,1/4,6/8,2/8,,,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,,,0,0,,,,,,,0,0,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,,,0,0,,,,,,,0,0,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,,,0,0,,,,,,,0,0,,,,,,,,
"2020-10-31 11:55:00","Galan Riveros D. E.",115,"Mager G.",100,Finished,1,2,1:47,6,3,0,0,0:41,3,6,0,0,0:27,4,6,0,0,0:39,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,,,0,0,,,,,,,0,0,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,,,0,0,,,,,,,0,0,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,,,0,0,,,,,,,0,0,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,,,0,0,,,,,,,0,0,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,,,0,0,,,,,,,0,0,,,,,,,,
"2020-10-31 05:15:00","Benchetrit E.",223,"Pospisil V.",61,Finished,0,2,0:51,0,6,0,0,0:21,1,6,0,0,0:30,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,,,0,0,,,,,,,0,0,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,,,0,0,,,,,,,0,0,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,,,0,0,,,,,,,0,0,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,,,0,0,,,,,,,0,0,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,,,0,0,,,,,,,0,0,,,,,,,,
"2020-11-04 12:40:00","Wawrinka S.",18,"Paul T.",54,Finished,2,1,2:23,4,6,0,0,0:37,7,6,7,3,1:11,6,2,0,0,0:35,0,0,0,0,,0,0,0,0,,6,2,0,0,65,58,14/22,10/15,6/12,7/11,4/6,0/1,5/15,8/22,4/11,6/12,1/1,2/6,0,0,0,0,,,0,0,20/34,17/26,9/26,14/34,29/60,31/60,0,0,3/5,4/5,1/5,2/5,4/10,6/10,,,1,2,3,3,69,57,28/44,15/26,6/20,9/20,5/8,1/4,11/26,16/44,8/20,11/20,3/4,3/8,0,0,0,0,,,0,0,34/64,24/46,22/46,30/64,56/110,54/110,0,0,3/6,3/6,3/6,3/6,6/12,6/12,,,1,0,0,0,63,65,12/15,9/17,6/9,5/9,2/2,6/8,8/17,3/15,4/9,3/9,2/8,0/2,0,0,0,0,,,0,0,18/24,14/26,12/26,6/24,30/50,20/50,0,0,4/4,2/4,2/4,0/4,6/8,2/8,,,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,,,0,0,,,,,,,0,0,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,,,0,0,,,,,,,0,0,,,,,,,,
